Event,Track,Material,StepLength(mm),Edep(MeV),PreE(MeV),PostE(MeV),PreZ(mm),PostZ(mm),Transmission
0,11,G4_AIR,20.3251,0.0126917,0.0703693,0.0576775,399.531,386.016,1
0,11,G4_AIR,2.76134,0.00185828,0.0576775,0.0530568,386.016,383.82,1
0,11,G4_AIR,1.24692,0.000458873,0.0530568,0.0427075,383.82,382.68,1
0,11,G4_AIR,9.19256,0.00894575,0.0427075,0.0337618,382.68,376.771,1
0,11,G4_AIR,6.52819,0.00811248,0.0337618,0.0256493,376.771,372.693,1
0,11,G4_AIR,4.54601,0.00531269,0.0256493,0.0203366,372.693,370.079,1
0,11,G4_AIR,3.47747,0.00260971,0.0203366,0.0177269,370.079,371.967,1
0,11,G4_AIR,0.0589679,0.000251335,0.0177269,0.0151981,371.967,371.972,1
0,11,G4_AIR,2.60877,0.00379189,0.0151981,0.0114062,371.972,370.827,1
0,11,G4_AIR,1.3682,0.00208716,0.0114062,0.00791343,370.827,370.898,1
0,11,G4_AIR,1.49081,0.00643577,0.00791343,0.00147766,370.898,370.211,1
0,11,G4_AIR,0.101316,0.00147766,0.00147766,0,370.211,370.242,0
0,86,G4_AIR,0.0939569,0.00140562,0.00140562,0,370.898,370.897,0
0,85,G4_AIR,0.199266,0.00227749,0.00227749,0,371.972,372.035,0
0,84,G4_AIR,1.81757,0.0025767,0.00989041,0.00731371,382.68,382.447,1
0,84,G4_AIR,0.267508,0.000223572,0.00731371,0.00604375,382.447,382.393,1
0,84,G4_AIR,1.06983,0.00604375,0.00604375,0,382.393,381.982,0
0,87,G4_AIR,0.0608676,0.00104639,0.00104639,0,382.393,382.395,0
0,83,G4_AIR,0.273953,0.00276242,0.00276242,0,383.82,383.812,0
0,82,G4_AIR,0.0903592,0.00136954,0.00136954,0,399.531,399.553,0
0,81,G4_AIR,0.130023,0.00173915,0.00173915,0,404.658,404.683,0
0,80,G4_AIR,0.575146,0.00424889,0.00424889,0,426.701,426.787,0
0,79,G4_AIR,0.259558,0.00267479,0.00267479,0,554.385,554.36,0
0,78,G4_AIR,0.0871973,0.00133733,0.00133733,0,647.033,647.021,0
0,77,G4_AIR,0.28818,0.00284674,0.00284674,0,648.08,648.053,0
0,76,G4_AIR,0.0965982,0.00143175,0.00143175,0,737.508,737.513,0
